OBJECTID,TIAID,PRJ_NAME,PURPOSE,PRJ_TYPE,SHORTSCOPE,PRJ_LENGTH,JURISDICTN,SUBREGION,ASSET_MNG,RDWY_CAP,FREIGHT,SAFETY_OP,AVIATION,BIKE_PED,TRANS_CAP,PLN_2040,TRANS_OP,RELATED_ID,FED_FUNDS,TIA_FUNDS,LOC_FUNDS,TOTALFUNDS,GlobalID,last_edited_date
116,TIA-GW-057,SR 316 at Harbins Road - Grade Separation,"This project will eliminate an at-grade crossing along SR 316 and convert it to an interchange, improving safety and reducing traffic delays along one of the most congested corridors in the region.  The project will also have the effect of reducing cut-t",Roadway,"This project will eliminate an at-grade crossing along SR 316 and convert it to an interchange, improving safety and reducing traffic delays along one of the most congested corridors in the region.  The project will also have the effect of reducing cut-t",N/A,Gwinnett,Northeast Subregion,No,No,Yes,Yes,No,No,No,Project identified as line item in PLAN 2040,Yes,ASP-AR-ML-440 or ASP-AR-ML-450,0,23000000,0,23000000,{5B166A22-03B3-49E0-BDBC-FCF09D0C0083},
117,TIA-GW-058,SR 316 at Hi Hope Road / Cedars Road - Grade Separation,"This project will eliminate two at-grade crossings along SR 316 and convert them into a single interchange, improving safety and reducing traffic delays along one of the most congested corridors in the region.  The project will also have the effect of re",Roadway,"This project will eliminate an at-grade crossing along SR 316 and convert it to an interchange, improving safety and reducing traffic delays along one of the most congested corridors in the region.  The project will also have the effect of reducing cut-t",N/A,Gwinnett,Northeast Subregion,No,No,Yes,Yes,No,No,No,Project identified as line item in PLAN 2040,No,ASP-AR-ML-440 or ASP-AR-ML-450,0,61900000,0,61900000,{85F349B3-80B2-469D-A099-E4263A4A96DE},
118,TIA-GW-059,SR 316 at US 29 - Grade Separation,"This project will eliminate an at-grade crossing along SR 316 and convert it to an interchange, improving safety and reducing traffic delays along one of the most congested corridors in the region.  The project will also have the effect of reducing cut-t",Roadway,"This project will eliminate an at-grade crossing along SR 316 and convert it to an interchange, improving safety and reducing traffic delays along one of the most congested corridors in the region.  The project will also have the effect of reducing cut-t",N/A,Gwinnett,Northeast Subregion,No,No,Yes,Yes,No,No,No,Project identified as line item in PLAN 2040,No,ASP-AR-ML-440 or ASP-AR-ML-450,0,51000000,0,51000000,{5AEC426C-9A6C-4408-A69E-7B78A48F9D53},
119,TIA-GW-069,Walther Boulevard North/South Connection - New Alignment and Overpass at SR 316,"This project involves a bridge reconnecting two sections of Walther Boulevard which were severed during construction of SR 316.  This will provide Georgia Gwinnett College an alternative vehicle, bicycle and pedestrian access across SR 316. This extensio",Roadway,"This project involves a bridge reconnecting two sections of Walther Boulevard which were severed during construction of SR 316.  This will provide Georgia Gwinnett College an alternative vehicle, bicycle and pedestrian access across SR 316. This extensio",0.2,Gwinnett,Northeast Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as line item in PLAN 2040 with construction planned for 2015,No,GW-379,0,10600000,0,10600000,{7D49A249-4C3F-4F70-9C08-B748144C4FC7},
120,TIA-GW-070,West Liddell Road / Club Drive Connector - New Alignment and Overpass at I-85 North,This project will provide a new four-lane roadway bridge across I-85 linking West Liddell Road on the north side with Club Drive on the south side. The purpose of the project is to meet existing and projected traffic needs. The resulting reduction in tra,Roadway,This project will provide a new four-lane roadway bridge across I-85 linking West Liddell Road on the north side with Club Drive on the south side. This project will meet existing and projected traffic needs. This crossing will not only relieve the inter,0.4,Gwinnett,Northeast Subregion,No,Yes,No,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned for 2018-2030,No,GW-309,0,39300000,0,39300000,{18AC90C7-F325-4108-A15B-37475ED5647C},
121,TIA-CO-020,McCollum Airport - Runway Approach Lighting System,This project will provide new runway approach lights at the Cobb County Airport-McCollum Field. The lights will be installed on existing airport property that is maintained as a protection zone below approaching aircraft. Installation of the MALSF to Run,Aviation,This project will provide new runway approach lights (MALSF) at the Cobb County Airport / McCollum Field. The new approach lights will assist pilots in landing during marginal weather conditions. Cobb County Airport-McCollum Field is a major economic gen,N/A,Cobb,Northwest Subregion,No,No,No,No,Yes,No,No,Not identified as a line item in PLAN 2040,No,N/A,0,690000,0,690000,{01729566-DA2C-4FC8-8BDB-4472EB119CFB},
122,TIA-FN-034,SR 400 at SR 140 (Holcomb Bridge Road) - Interchange Improvements,This project will provide improvements at the SR 400 / SR 140 (Holcomb Bridge Road) interchange.  It will implement the recommendations resulting from the Holcomb Bridge Road Corridor Study currently underway.  It is expected this study will recommend a,Roadway,This project will provide improvements at the SR 400 / SR 140 (Holcomb Bridge Road) interchange.  It will implement the recommendations resulting from the Holcomb Bridge Road Corridor Study currently underway.  It is expected this study will recommend a,N/A,Fulton,North Subregion,Yes,No,Yes,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, however there is an ATMS project along same corridor with CST in FY 2012",Yes,ASP-FN-272,25000000,23000000,0,48000000,{A52D5377-5372-42B7-BD23-DF66E33BE0F4},
123,TIA-GW-067,US 78 (Main Street) at SR 124 (Scenic Hwy) - Intersection Improvements,"This project provides improvements at the intersection of US 78 and Scenic Highway in Snellville, two of the most congested corridors in the region. Both facilities are designated as Regional Thoroughfares and Regional Truck Routes.  The project will ena",Roadway,"This project provides improvements at the intersection of US 78 and Scenic Highway in Snellville, two of the most congested corridors in the region. It will enable both roadways to maintain an acceptable level of service and will include sidewalks and up",N/A,Gwinnett,East Subregion,No,No,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned for 2018-2030,No,GW-078C,9550000,9550000,0,19100000,{831F005A-7620-4BD0-BAEF-AB0A3830BAA9},
124,TIA-AR-030,I-285 North at SR 400 - Interchange Improvements,This project will reconstruct substantial portions of the I-285 / SR 400 interchange to facilitate the flow of traffic and improve safety.  This interchange is one of the most congested in the entire region and Southeastern United States.  Located at the,Roadway,This project will reconstruct substantial portions of the I-285 / SR 400 interchange to facilitate the flow of traffic and improve safety.  This interchange is one of the most congested in the entire region and Southeastern United States.  Located at the,N/A,Fulton,I-285 Corridor,No,No,Yes,Yes,No,No,No,Not identified as a separate line item in PLAN 2040 because it is integrated into broader managed lanes project,No,AR-ML-200,337500000,112500000,0,450000000,{017EC9CA-4057-47F0-AE2F-CD3044C42A9E},
125,TIA-AR-040,I-85 North at I-285 - Interchange Improvements,"This project will involve improvements to ramp movements at the I-85 / I-285 interchange in northeast metro Atlanta, which is heavily congested.  The preliminary concept involves rerouting the northbound exit ramps to Northcrest Road / Pleasantdale Road",Roadway,"This project will involve improvements to certain movements at the I-85 / I-285 interchange in northeast metro Atlanta, which is heavily congested.  The preliminary concept involves rerouting the northbound exit ramps to Northcrest Road / Pleasantdale Ro",N/A,DeKalb,I-285 Corridor,No,No,Yes,Yes,No,No,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,26500000,26500000,0,53000000,{B95D80AA-1E70-40F9-9341-9660417D4178},
126,TIA-AT-001(4),Central Avenue at CSX Rail Line and MARTA East Line - Bridge Replacement,"This project will replace the Central Avenue bridge between Decatur Street and Alabama Street, which was built in 1926 and has a sufficiency rating of 50 out of 100. The bridge will be designed to accommodate multiple modes of transportation, including b",Roadway,"This project will replace the Central Avenue bridge between Decatur Street and Alabama Street in downtown Atlanta, which has a sufficiency rating of 49.87 out of 100.  The bridge will be designed to accommodate multiple modes of transportation, including",0.1,Atlanta,Central Subregion,Yes,No,No,No,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation and investment within existing activity centers",No,N/A,0,27000000,0,27000000,{FDF12690-73E1-442D-990D-B56A8F09CBC5},
127,TIA-AT-001(5),Courtland Street at CSX Rail Line and MARTA East Line - Bridge Replacement,"This project will replace the Courtland Street bridge between Edgewood Avenue and Martin Luther King, Jr. Drive in downtown Atlanta and has a sufficiency rating of 49.49 out of 100.  The bridge will include traffic signal coordination, modernization, opt",Roadway,"This project will replace the Courtland Street bridge between Edgewood Avenue and Martin Luther King, Jr. Drive in downtown Atlanta, which has a sufficiency rating of 49.49 out of 100.  The bridge will be designed to accommodate multiple modes of transpo",0.3,Atlanta,Central Subregion,Yes,No,No,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2017.,No,AT-070,0,22000000,0,22000000,{9FFD29A9-E85F-4C8F-95F9-07661DD5F77C},
128,TIA-AT-001(14),Pryor Street at CSX Rail Line and MARTA East Line - Bridge Replacement,"This project will replace the Pryor Street bridge between Wall Street and Alabama Street, which was built in 1929 and has a sufficiency rating of 35 out of 100. The bridge will be designed to accommodate multiple modes of transportation, including bicycl",Roadway,"This project will replace the Pryor Street bridge between Wall Street and Alabama Street in downtown Atlanta, which has a sufficiency rating of 35 out of 100.  The bridge will be designed to accommodate multiple modes of transportation, including bicycle",0.1,Atlanta,Central Subregion,Yes,No,No,No,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation and investment within existing activity centers",No,N/A,0,32100000,0,32100000,{65BBBFBA-3276-4B23-9D5F-CB1867ABFA76},
129,TIA-GW-009,Dacula Road at CSX Rail Line North of US 29 - Bridge Upgrade,This project will replace the deficient Dacula Road bridge over the CSX railroad track.  The intersection approaches are at skewed angles and corrections to both horizontal and vertical curves at the intersection are needed.  Operational improvements wil,Roadway,This project will replace the deficient Dacula Road bridge over the CSX railroad track.  The intersection approaches are at skewed angles and corrections to both horizontal and vertical curves at the intersection are needed.  Operational improvements wil,0.1,Gwinnett,Northeast Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation and investment within existing activity centers",No,N/A,0,10000000,0,10000000,{EA826224-EB0F-4AB1-AB78-CAA08F764781},
130,TIA-AR-046,I-285 West at I-20 West - Interchange Improvements,"This project will partially reconstruct the interchange of I-285 and I-20 on the west side of the region.  The project serves trips to/from multiple jurisdictions including Fulton, Cobb, Douglas, Carroll and Paulding Counties and also serves freight traf",Roadway,"This project will partially reconstruct the interchange of I-285 and I-20 on the west side of the region.  Specifically, the I-285 southbound ramp to I-20 westbound and the I-20 eastbound to I-285 northbound ramp would be rebuilt to allow vehicles to mai",N/A,Fulton,I-285 Corridor,No,No,Yes,Yes,No,No,No,Related project identified as a line item in PLAN 2040 with construction planned for 2018-2030 timeframe,No,AT-244,74500000,74500000,0,149000000,{0163643C-DF98-4A41-8AB5-AF3D2818F41B},
131,TIA-HE-016,SR 81 (Keys Road) from Lemon Street to Bethany Road - Widening,This project will widen SR 81 from two to four lanes between Lemon Street and Bethany Road in Henry County.  SR 81 is a congested roadway which serves traffic needs in south metro Atlanta and is designated as both a Regional Thoroughfare and a Regional T,Roadway,This project will widen SR 81 from two to four lanes between Lemon Street and Bethany Road in Henry County.  SR 81 is a congested roadway which serves traffic needs in south metro Atlanta.  The area around McDonough has grown in recent years to include a,3.0,Henry,Southeast Subregion,No,Yes,Yes,No,No,No,No,Project identified as a line item in PLAN 2040 with construction planned beyond 2040,No,ASP-HE-191,0,27000000,0,27000000,{2A86E361-76D5-48FA-B6A0-B104D0A63BEC},
132,TIA-DK-043,Panola Road from Thompson Mill Road to US 278 (Covington Highway) - Widening,"This project will widen Panola Road from four to six lanes from Covington Highway to Thompson Mill Road, providing more capacity for busy commercial and industrial clusters within the I-20 East / Panola Road interchange area. Other design elements includ",Roadway,"This project will widen Panola Road from four to six lanes from Covington Highway to Thompson Mill Road, providing more capacity for busy commercial and industrial clusters within the I-20 East / Panola Road interchange area. Other design elements includ",2.1,DeKalb,East Subregion,Yes,Yes,No,Yes,No,Yes,No,Project identified as line item in PLAN 2040 with construction for DK-065B & C planned in FY 2015 and construction for DK-065A & E in 2018-2030 timeframe.  No construction date for ORP-DK-381.,No,"DK-065C,E",15150000,15150000,0,30300000,{95903FCC-C43C-4D59-B294-81985389780B},
133,TIA-HE-001,US 23 / SR 42 from SR 138 to SR 155 - Widening,This project will widen US 23/SR 42 from two to four lanes between SR 138 in Stockbridge and SR 155 in McDonough.  An innovative element of the adopted Joint Henry County/Cities Comprehensive Transportation Plan (CTP) was the identification and detailed,Roadway,This project will widen US 23/SR 42 from two to four lanes between SR 138 in Stockbridge and SR 155 in McDonough.  The corridor was designated by the Joint Henry County/Cities Comprehensive Transportation Plan (CTP) as a key transportation corridor.   Th,8.7,Henry,Southeast Subregion,No,Yes,No,No,No,No,No,"Project identified as a line item in PLAN 2040 with construction north of McDonough planned for 2018-2030, construction south of McDonough planned beyond 2040",No,"HE-107; ASP-HE-190",0,44000000,0,44000000,{6215827F-6718-419C-8EE9-80AD3B65419C},
134,TIA-DO-007,US 78 (Veterans Memorial Highway) from SR 6 (Thornton Road) to Sweetwater Road - Widening,"This project will extend the existing multi lane roadway section that presently exists through the City of Atlanta, Cobb County and the City of Austell approximately 1.8 miles west through the intersection of South Sweetwater Road in the center of the Li",Roadway,"This project will extend the four-lane roadway section of US 78  that currently runs through the City of Atlanta, Cobb County and the City of Austell through the intersection of South Sweetwater Road in the center of the Lithia Springs Community.  The pr",1.8,Douglas,West Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,"DO-016; ASP-DO-029A",0,20000000,0,20000000,{43BE44C0-A961-497E-9A45-377C02498C6E},
135,TIA-CL-018,US 19/41 (Tara Boulevard) from I-75 South to Battle Creek Road - Super Arterial Concept,This project will remake US 19/41 (Tara Boulevard) from I-75 to approximately Battle Creek Road into a “super arterial” road complete with multiple grade separations and limited-access highway locations.  It is envisioned that the project will provide tw,Roadway,"This project involves a redesign of Tara Boulevard from the I-75 interchange to the Battlecreek Road area. The purpose of this project is to separate local traffic to commercial development along the corridor, from regional commuter traffic, which utiliz",2.1,Clayton,South Subregion,No,Yes,Yes,Yes,No,Yes,No,Not identified as a line item in PLAN 2040,No,N/A,0,102170000,0,102170000,{63CC501C-B0AB-433A-A127-F1584FE2593B},
136,TIA-CO-027,SR 280 (South Cobb Drive) from I-285 to Church Road / Oakdale Road - Corridor Improvements,"This project enhances safety by installing a raised median and turn lanes in the existing center two way left turn lane from I-285 to Oakdale Road / Church Road.  Intersection improvements, including possible realignment at the intersection of SR 280 (So",Roadway,"This project will install a raised median and turn lanes in the existing center-two-way-left-turn lane on South Cobb Drive, between I-285 and Oakdale Road / Church Road.  Intersection improvements, including possible realignment at the intersection of So",0.4,Cobb,Northwest Subregion,No,No,Yes,Yes,No,Yes,No,Project identified as line item in PLAN 2040 although limits of plan project extend further south to SR 70 in City of Atlanta,No,ASP-CO-175A,0,9000000,0,9000000,{3DEA8872-4502-4E89-B793-065FD195F946},
137,TIA-M-023,I-20 East Transit Corridor Investments,This project uses TIA funds to start a phased implementation of investments in the I-20 East Corridor by constructing future stations of a fixed guideway system as identified through the long-term vision for the corridor of providing fixed guideway servi,Transit,This project uses TIA funds to start a phased implementation of investments in the I-20 East Corridor by constructing future stations of a fixed guideway system as identified through the long-term vision for the corridor of providing fixed guideway servi,N/A,DeKalb,East Subregion,No,No,No,No,No,No,Yes,"PLAN 2040 includes a freeway BRT project along much of the proposed corridor, but no heavy rail service",Yes,ASP-AR-463,0,225000000,0,225000000,{53BD94BC-3222-413C-A8A8-6783C727FA11},
138,TIA-FS-016,Butner Road at SR 6 (Camp Creek Parkway) and Camp Creek - Intersection and Bridge Improvements,"This project will replace the deficient bridge on Butner Road over Camp Creek and improve the intersection of those two roadways. The proposed bridge will be wide enough to accommodate four 12' wide traffic lanes, 24"" curb and gutter, a 12' wide pedestri",Roadway,"This project will replace the deficient bridge on Butner Road over Camp Creek and improve the intersection of those two roadways.  The proposed bridge will be wide enough to accommodate four traffic lanes, curb and gutter and pedestrian sidewalk on the w",0.2,Fulton,Southwest Subregion,Yes,No,No,No,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation and low cost operational improvements instead of major capacity expansion",No,N/A,0,3500000,0,3500000,{75D8AC71-690C-469F-A4B0-F4C0210331CC},
139,TIA-AT-007,Atlanta Beltline and Atlanta Streetcar Transit and Trail - Downtown and Midtown to Southwest,"This project will improve rail transit access to multiple regional employment and activity centers, including downtown and midtown Atlanta, by extending the TIGER II-funded funded streetcar to the southwest Atlanta BeltLine corridor.  The project include",Transit,"This project will improve rail transit access to multiple regional employment and activity centers, including downtown and midtown Atlanta, by extending the TIGER II-funded streetcar to the southwest Atlanta BeltLine corridor.  The project includes the c",5.7,Atlanta,Central Subregion,No,No,No,No,No,Yes,Yes,Project identified as a line item in PLAN 2040 with construction planned in 2031-2040 timeframe,Yes,AR-451 series,0,435940345,0,435940345,{6985A03D-C7E3-4A45-886B-AD34C1BCF2AF},
140,TIA-AR-037,MARTA North Heavy Rail Line Extension to SR 140 - Project Development Activities,"This project provides $37,000,000 of TIA funds for corridor planning, engineering, environmental review and assessment, improved interim bus services, and possible limited right-of-way acquisition for the extension of the MARTA North (Red) Line.   The bu",Transit,"This project provides $37,000,000 of TIA funds for corridor planning, engineering, environmental review and assessment, improved interim bus services, and possible limited right-of-way acquisition necessary for a future extension of the MARTA North (Red)",5.9,Fulton,North Subregion,No,No,No,No,No,No,Yes,Project identified as a line item in PLAN 2040 with construction planned beyond 2040,Yes,ASP-AR-424,0,37000000,0,37000000,{99BE8262-02C0-431A-9C9F-0A9015A7793F},
141,TIA-AT-004,Atlanta Beltline and Atlanta Streetcar Transit and Trail - Downtown to Northeast,"This project will improve rail transit access to multiple regional employment and activity centers, including downtown Atlanta, by extending the TIGER II-funded streetcar to the northeast Atlanta BeltLine corridor.  The project includes the construction",Transit,"This project will improve rail transit access to multiple regional employment and activity centers, including downtown Atlanta, by extending the TIGER II-funded streetcar to the northeast Atlanta BeltLine corridor.  The project includes the construction",1.1,Atlanta,Central Subregion,No,No,No,No,No,Yes,Yes,Project identified as a line item in PLAN 2040 with construction planned in 2031-2040 timeframe,Yes,AR-451 series,0,165952132,0,165952132,{04A6D036-A62A-4519-AB93-F040BAE05CCB},
142,TIA-GW-018,Hillcrest Road / Satellite Boulevard Connector - New Alignment and Overpass at I-85 North,This project will provide a new four-lane roadway linking Satellite Boulevard and Hillcrest Road across I-85.  A major recommendation of the Gwinnett County Comprehensive Transportation Plan and the Jimmy Carter Boulevard LCI was additional crossings of,Roadway,This project will provide a new four-lane roadway linking Satellite Boulevard and Hillcrest Road across I-85.  Both the 2001 Gwinnett County CTP and the 2006 Jimmy Carter LCI underlined the need to enhance connectivity along the I-85 corridor.  This new,1.0,Gwinnett,Northeast Subregion,No,Yes,No,No,No,Yes,No,Not identified as a line item in PLAN 2040,No,N/A,0,19900000,0,19900000,{D4B81E7A-5DB8-43DC-A118-634B1FB5C9C9},
143,TIA-CO-035,Enhanced Premium Transit Service - Acworth / Kennesaw / Town Center to MARTA Arts Center Station,This project will implement enhanced premium transit service along the Northwest Corridor between Acworth / Kennesaw / Town Center and the MARTA Arts Center Station including express commuter service in northern Cobb County and Cherokee County. Operation,Transit,"This project will implement enhanced premium transit service along the Northwest Corridor between Acworth/Kennesaw/Town Center and the MARTA Arts Center Station, including express commuter service in northern Cobb County and Cherokee County. Premium tran",28,Cobb/Atlanta,Northwest Subregion,No,No,No,No,No,No,Yes,Project identified as a line item in PLAN 2040 with construction planned beyond 2040,Yes,ASP-AR-415,0,689000000,6000000,695000000,{5BE77857-0F32-40B6-8529-ADFC636EDBC8},
144,TIA-AT-001(67),Campbellton Road from SR 139 (Lee Street) to Atlanta City Limits - Traffic Improvements,"This project will provide traffic improvements along Campbellton Road from Lee Street to the Atlanta City Limits.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilit",Roadway,"This project will provide traffic improvements along Campbellton Road from Lee Street to the Atlanta City Limits.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, millin",7.4,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,1259900,0,1259900,{0148BB4C-D139-4355-A1D2-998CF2113F4D},
145,TIA-AT-001(68),SR 54 (Jonesboro Road) from McDonough Boulevard to City Limits - Traffic Improvements,"This project will provide traffic improvements along Jonesboro Road from McDonough Boulevard to the Atlanta City Limits.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Di",Roadway,"This project will provide traffic improvements along Jonesboro Road from McDonough Boulevard to the Atlanta City Limits.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements,",5.5,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,806625,0,806625,{9535183B-F17A-4CD3-91C9-5D375575324B},
